IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
104.22.16.97,443,true,SJC,North America,San Jose,205 ms,5934 kB/s
104.16.149.37,443,true,HKG,Asia Pacific,Hong Kong,32 ms,5894 kB/s
104.22.9.79,443,true,HKG,Asia Pacific,Hong Kong,30 ms,5872 kB/s
162.159.137.54,443,true,HKG,Asia Pacific,Hong Kong,34 ms,5849 kB/s
104.22.49.74,443,true,HKG,Asia Pacific,Hong Kong,33 ms,5839 kB/s
104.18.78.41,443,true,HKG,Asia Pacific,Hong Kong,33 ms,5787 kB/s
104.16.199.132,443,true,HKG,Asia Pacific,Hong Kong,30 ms,5781 kB/s
104.18.18.211,443,true,HKG,Asia Pacific,Hong Kong,33 ms,5771 kB/s
104.18.36.35,443,true,HKG,Asia Pacific,Hong Kong,33 ms,5693 kB/s
104.21.4.12,443,true,HKG,Asia Pacific,Hong Kong,35 ms,5682 kB/s
104.18.252.217,443,true,SJC,North America,San Jose,172 ms,5621 kB/s
104.17.43.4,443,true,SJC,North America,San Jose,185 ms,5548 kB/s
104.19.187.97,443,true,SJC,North America,San Jose,193 ms,5527 kB/s
104.16.200.157,443,true,HKG,Asia Pacific,Hong Kong,40 ms,5512 kB/s
104.17.27.137,443,true,HKG,Asia Pacific,Hong Kong,35 ms,5493 kB/s
104.16.176.144,443,true,SJC,North America,San Jose,179 ms,5475 kB/s
104.16.96.80,443,true,HKG,Asia Pacific,Hong Kong,32 ms,5472 kB/s
172.67.186.173,443,true,HKG,Asia Pacific,Hong Kong,35 ms,5469 kB/s
104.18.186.31,443,true,HKG,Asia Pacific,Hong Kong,33 ms,5461 kB/s
104.18.138.17,443,true,HKG,Asia Pacific,Hong Kong,34 ms,5457 kB/s
104.18.11.207,443,true,HKG,Asia Pacific,Hong Kong,33 ms,5450 kB/s
104.16.22.248,443,true,SJC,North America,San Jose,192 ms,5436 kB/s
104.18.137.17,443,true,HKG,Asia Pacific,Hong Kong,33 ms,5409 kB/s
